ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7E6|18|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835225||0
7E6|19|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835226||0
7E6|20|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835227||0
7E6|21|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835229||0
7D13|1|5060101|47|59735|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925458|TRA3|27
7D13|2|5060101|47|59735|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925466|TRA3|27
7D13|3|5060101|47|59735|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925503|TRA3|27
7D13|4|5060101|47|59735|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925524|TRA3|27
7D13|5|5060101|47|59737|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925544|TRA3|27
7D13|6|5060101|47|59737|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925550|TRA3|27
7D13|7|5060101|47|59737|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925581|TRA3|27
7D13|8|5060101|47|59737|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925592|TRA3|27
7D13|9|5060101|47|59737|84971|999999|7|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925603|TRA3|27
7D13|10|5060101|47|59736|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925613|TRA3|27
7D13|11|5060101|47|59736|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925624|TRA3|27
7D13|13|5060101|47|59736|84971|999999|9|351|273.050000|17.070000|6.06|72.67|22/05/2030 05:30:21|158.12|D0925626|TRA3|27
7D6|1|0948018|20|59369|9156|999999|14|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836802||0
7D6|2|0948018|20|59369|9156|999999|14|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836803||0
